station_id,name,category,distance,rating,review_count,price
114,Musette Café,restaurants,187,0.0,0,0
114,Friends Buffet,restaurants,181,0.0,0,0
114,Don Pepe Di Nápoli,restaurants,196,0.0,0,0
114,Riberão Claro Padaria,bakeries,201,4.5,2,2
36,Shigueru,restaurants,18,4.0,4,3
36,Pão com Carne,restaurants,201,4.6,19,1
36,Madero,restaurants,59,3.8,13,2
36,Taberna da Esquina,restaurants,45,4.0,2,3
36,Brasserie Victoria,restaurants,151,4.4,7,3
36,Boteco São Bento,restaurants,184,3.6,15,2
36,Salgaderia,restaurants,183,4.6,9,1
36,Imakay,restaurants,101,4.3,3,0
36,Burrito villa,restaurants,222,5.0,2,1
36,Yucatan,restaurants,129,3.3,4,2
36,Mega Matte,coffee,225,0.0,0,0
36,Doceria Yara,bakeries,202,0.0,0,0
36,Goodies,bakeries,223,0.0,0,0
36,Padaria Jesbell,bakeries,253,0.0,0,0
36,Indústria Panificação Bibi,bakeries,251,0.0,0,0
231,Vinil Burger,restaurants,211,4.3,31,1
231,Negroni,restaurants,202,4.5,13,3
231,Dô Culinária Japonesa,restaurants,129,4.7,12,4
231,Pirajá,restaurants,193,4.0,22,2
231,Café com Pão,restaurants,20,0.0,0,0
231,NB Steak,restaurants,126,4.7,9,4
231,Vila das Meninas,restaurants,130,4.9,7,2
231,Lanchonete da Cidade,restaurants,130,4.0,5,2
231,Santinho,restaurants,110,5.0,2,3
231,Salumeria Tarantino,restaurants,120,4.3,6,2
231,Brigadeiro Doceria & Café,coffee,139,4.5,11,2
231,Bolo à Toa - Pinheiros,coffee,153,4.7,3,2
231,La Girandola,coffee,227,4.7,3,2
231,Vitória Café,coffee,152,0.0,0,0
231,Café com Pão,bakeries,20,0.0,0,0
231,Maison de Marie - Café Et Patisserie,bakeries,37,0.0,0,0
231,Dam Doceria Tradicional e Dietética,bakeries,173,0.0,0,0
231,Mamãe Doçura Enfeites e Doces,bakeries,219,0.0,0,0
525,Mexicaníssimo,restaurants,196,3.5,14,2
525,Cafeteria Lambreta,restaurants,45,0.0,0,0
525,Starbucks,restaurants,157,4.0,2,1
525,Le Sandwich,restaurants,149,0.0,0,0
525,Temaki SP - Unidade Pellegrino,restaurants,183,0.0,0,0
525,Le Caipirinha Restaurante,restaurants,98,0.0,0,0
525,Felice e Maria,restaurants,153,0.0,0,0
525,Bar e Lanchonete Quatá,restaurants,196,0.0,0,0
525,Dujule,bakeries,131,0.0,0,0
102,Caluma Gastronomia,restaurants,240,3.6,7,3
102,Restaurante Marajó,restaurants,86,4.0,1,0
102,Rangos Restaurante,restaurants,122,3.3,3,1
102,Ristorante La Pasta & Formaggio,restaurants,194,4.5,2,0
102,Armazém Morumbi,restaurants,181,4.5,2,0
102,Segredo dos Pães,restaurants,197,3.0,1,0
102,Galpão Restaurante,restaurants,172,3.5,2,1
102,Creperia Paulista,restaurants,215,0.0,0,0
102,Ladrilho Gastronomia,restaurants,205,0.0,0,0
102,Subway,restaurants,240,0.0,0,0
102,Panificadora União Fialense,bakeries,102,4.0,1,2
102,Segredo dos Pães,bakeries,197,3.0,1,0
435,Sarumon,restaurants,159,4.8,8,2
435,Hecho En México,restaurants,225,3.5,26,2
435,Le Bou,restaurants,164,4.3,3,2
435,Barbearia Corleone,restaurants,184,4.0,2,3
435,Pequim 2000,restaurants,92,0.0,0,0
435,Gastroarte,restaurants,179,5.0,1,0
435,Renato 167,restaurants,240,4.0,1,0
435,Casa Lema,restaurants,185,0.0,0,0
435,Grelhao Churrascaria & Delivery,restaurants,165,0.0,0,0
435,Restaurante Brunetto,restaurants,181,3.0,1,0
435,Panificadora e Rotisserie Lareira,bakeries,164,4.0,1,1
474,Al Árabe,restaurants,219,4.4,7,2
474,Aya Japanese Cuisine,restaurants,73,3.7,6,0
474,Sushibol,restaurants,96,3.8,6,2
474,Alshekh,restaurants,198,4.6,7,1
474,Maria Gourmet,restaurants,103,4.3,7,1
474,Taberna 474,restaurants,159,4.3,4,3
474,La Trattoria Cantina Italiana,restaurants,176,4.5,4,2
474,Holy Crepe,restaurants,139,3.8,5,1
474,Bella mari,restaurants,200,4.3,4,2
474,Rosmarino,restaurants,135,4.7,3,3
474,Doceira Húngara,bakeries,101,0.0,0,0
474,Panificadora San Siro,bakeries,256,0.0,0,3
87,Spot,restaurants,139,4.2,46,3
87,Hakka Sushi,restaurants,100,3.9,17,4
87,Starbucks,restaurants,243,3.9,17,1
87,Mate Por Favor,restaurants,257,4.6,10,1
87,Pirajá,restaurants,195,4.3,7,2
87,A Griffe do Filé Magnon,restaurants,150,4.3,4,1
87,Restaurante Arabesco,restaurants,34,0.0,0,0
87,La Arena Parrilla,restaurants,120,5.0,2,0
87,Manteigaria Lisboa,restaurants,194,3.6,7,1
87,Bob's,restaurants,84,3.0,4,1
87,Rei do Mate,coffee,161,4.0,2,1
87,Café do Ponto,coffee,258,4.5,2,2
87,Xodó da Paulista Restaurante e Lanches,bakeries,113,4.2,10,2
87,Manteigaria Lisboa,bakeries,194,3.6,7,1
87,Empório Arte Nata,bakeries,204,4.0,1,2
87,Amor Aos Pedaços,bakeries,184,0.0,0,0
87,Doceira e Confeitaria Gnt,bakeries,258,0.0,0,0
87,Paind France,bakeries,262,0.0,0,0
248,Lanchonete das Letras - Usp,restaurants,51,4.0,2,0
248,Barraquinha da Sociais,restaurants,159,4.7,3,0
248,Restaurante da Poli,restaurants,160,4.0,1,0
248,Krok Alimentos,restaurants,163,0.0,0,0
248,Restaurante da História e Geografia,restaurants,163,2.5,2,0
248,Scooby Dog,restaurants,163,3.0,1,0
59,Hirá Ramen Izakaya,restaurants,205,4.2,23,2
59,Tuju,restaurants,200,4.1,21,4
59,Chez Mom,restaurants,69,4.4,9,1
59,Umai,restaurants,15,4.0,4,0
59,Empanadas Bar,restaurants,122,3.8,17,1
59,Ruaa,restaurants,216,4.2,13,2
59,Villa Grano,restaurants,117,3.5,15,2
59,L'Aperô,restaurants,42,2.0,2,0
59,Go Dog,restaurants,169,4.4,5,2
59,Sushi Da Villa,restaurants,69,5.0,1,0
59,Coffee Lab,coffee,140,4.6,94,2
59,Café Moreno,coffee,60,3.0,1,1
297,Bawarchi,restaurants,78,3.9,17,2
297,Ajissai,restaurants,133,4.4,12,2
297,Restaurante Huang,restaurants,193,4.3,8,1
297,Green Dog,restaurants,71,5.0,1,0
297,Dona Tapioca,restaurants,77,4.5,2,1
297,Lanchonete Bom Jesus V,restaurants,61,3.0,1,0
297,Coffee Bean,restaurants,122,5.0,1,1
297,Buffet Villa de Marianna,restaurants,66,0.0,0,0
297,Restaurante Yan Shan,restaurants,202,5.0,1,0
297,Fran's Café,restaurants,201,4.0,2,2
297,Discoteka Cultural,coffee,77,4.0,1,2
297,Panificadora e Doceria Humberto I,bakeries,198,0.0,0,0
405,Café Girondino,restaurants,69,4.1,30,2
405,Hocca Bar,restaurants,239,4.7,26,2
405,Salve Jorge,restaurants,180,4.3,14,2
405,Pedrinho Hot Dog,restaurants,97,4.4,5,0
405,Café São Bento,restaurants,52,4.0,2,0
405,Saúde e Sabor,restaurants,98,3.8,4,1
405,Restaurante Guanabara,restaurants,149,5.0,2,1
405,Morizetti Restaurante,restaurants,38,0.0,0,0
405,Sancho Panza,restaurants,203,4.0,1,1
405,Bovinu's - Beer & Grill,restaurants,176,4.0,1,2
405,Café Girondino,coffee,69,4.1,30,2
405,Shopping Porto Geral,coffee,160,4.4,5,1
405,Mandíbula,coffee,239,3.7,20,2
405,Megamatte Libero Badaró-SP,coffee,225,0.0,0,0
405,Padaria do Mosteiro,bakeries,226,4.0,1,3
405,Pastelaria Reunida,bakeries,119,0.0,0,0
405,Bomboniere Três Irmãos,bakeries,109,0.0,0,0
405,Pastelaria Lanchonete Manly,bakeries,130,0.0,0,0
405,Galeria dos Doces,bakeries,133,0.0,0,0
405,Cantinho do Doce,bakeries,133,0.0,0,0
405,Fábrica de Doces Bombonieri,bakeries,174,0.0,0,0
585,P.F. Chang's,restaurants,69,3.3,24,3
585,NB Steak,restaurants,102,4.2,10,4
585,Brasserie Victoria,restaurants,140,4.4,7,3
585,Salgaderia,restaurants,137,4.6,9,1
585,Boteco São Bento,restaurants,200,3.6,15,2
585,Shigueru,restaurants,211,4.0,4,3
585,Pibus Hamburger,restaurants,116,3.2,6,2
585,Kappa Sushi Bar,restaurants,210,3.8,5,0
585,Fogão de Minas,restaurants,69,0.0,0,0
585,Mcdonald's,restaurants,69,0.0,0,0
585,Jean Et Marie Atelier de Doces,bakeries,151,0.0,0,0
18,Manish Restaurante,restaurants,158,4.4,9,2
18,"JAM - Japanese Food, Arts & Music",restaurants,171,4.7,6,3
