station_id,name,category,distance,rating,review_count,price,latitude,longitude,free_bikes
36,Pão com Carne,restaurants,201,4.6,19,1,-23.58689,-46.67548,14
36,Madero,restaurants,59,3.8,13,2,-23.58689,-46.67548,14
36,Taberna da Esquina,restaurants,45,4.0,2,3,-23.58689,-46.67548,14
36,Brasserie Victoria,restaurants,151,4.4,7,3,-23.58689,-46.67548,14
36,Boteco São Bento,restaurants,184,3.6,15,2,-23.58689,-46.67548,14
36,Salgaderia,restaurants,183,4.6,9,1,-23.58689,-46.67548,14
36,Imakay,restaurants,101,4.3,3,0,-23.58689,-46.67548,14
36,Burrito villa,restaurants,222,5.0,2,1,-23.58689,-46.67548,14
36,Yucatan,restaurants,129,3.3,4,2,-23.58689,-46.67548,14
231,Vinil Burger,restaurants,211,4.3,31,1,-23.5614126775109,-46.6953706304033,5
231,Negroni,restaurants,202,4.5,13,3,-23.5614126775109,-46.6953706304033,5
231,Dô Culinária Japonesa,restaurants,129,4.7,12,4,-23.5614126775109,-46.6953706304033,5
231,Pirajá,restaurants,193,4.0,22,2,-23.5614126775109,-46.6953706304033,5
231,NB Steak,restaurants,126,4.7,9,4,-23.5614126775109,-46.6953706304033,5
231,Vila das Meninas,restaurants,130,4.9,7,2,-23.5614126775109,-46.6953706304033,5
231,Lanchonete da Cidade,restaurants,130,4.0,5,2,-23.5614126775109,-46.6953706304033,5
231,Santinho,restaurants,110,5.0,2,3,-23.5614126775109,-46.6953706304033,5
231,Salumeria Tarantino,restaurants,120,4.3,6,2,-23.5614126775109,-46.6953706304033,5
231,Brigadeiro Doceria & Café,coffee,139,4.5,11,2,-23.5614126775109,-46.6953706304033,5
231,Bolo à Toa - Pinheiros,coffee,153,4.7,3,2,-23.5614126775109,-46.6953706304033,5
231,La Girandola,coffee,227,4.7,3,2,-23.5614126775109,-46.6953706304033,5
525,Mexicaníssimo,restaurants,196,3.5,14,2,-23.598937,-46.676138,0
525,Starbucks,restaurants,157,4.0,2,1,-23.598937,-46.676138,0
102,Caluma Gastronomia,restaurants,240,3.6,7,3,-23.6118685865358,-46.694953329576,10
102,Restaurante Marajó,restaurants,86,4.0,1,0,-23.6118685865358,-46.694953329576,10
102,Rangos Restaurante,restaurants,122,3.3,3,1,-23.6118685865358,-46.694953329576,10
102,Ristorante La Pasta & Formaggio,restaurants,194,4.5,2,0,-23.6118685865358,-46.694953329576,10
